bad_prompts,improved_prompts,Mistral_prompts
Write a program that calculates the area of a triangle.," ""Implement a Python program that takes the lengths of the sides of a triangle as inputs and calculates its area using Heron's formula""","Enhanced prompt: Code a program to determine the area of any given triangle using a specific formula (e.g., base times height divided by 2). Please provide the solution in a programming language of your choice without including any examples of the response to the prompt. Keep the length of the prompt concise."
Build an app that tracks daily fitness activities," ""Design and develop a mobile app for iOS and Android that allows users to track and monitor their daily fitness activities,  including steps taken,  calories burned,  and distance covered.""","Develop an application to monitor and record daily physical exercise routines. This app should provide a user-friendly interface to log workouts, set fitness goals, and analyze progress over time."
Make a program that simulates a blackjack game.," ""Create a Java program that simulates a blackjack game,  incorporating features such as multiple players,  a deck of cards, and rules for betting and scoring.""","Programming task: Design a blackjack game simulator. Your solution should include the creation of a deck of cards, a function to deal cards, a function to determine the value of a hand, and a mechanism for implementing game rules such as hitting, standing, and determining the winner."
Write code to analyze a large dataset and extract insights.," ""Develop a data analysis script in Python that reads a CSV file containing a large dataset,  performs statistical analysis,  generates visualizations,  and extracts meaningful insights""","""Develop and implement a data analysis strategy on an extensive dataset, focusing on key insights extraction and interpretation."""
Create a chatbot using natural language processing techniques," ""Build an AI-powered chatbot using Python,  TensorFlow,  and natural language processing techniques to understand and respond to user queries in a conversational manner""",Develop a conversational AI system utilizing advanced natural language processing methods.
Make a program that generates fractal images," ""Design and implement a C++ program that generates visually stunning fractal images using recursive algorithms,  allowing users to customize parameters such as colors and iterations.""","Craft a software application that produces intricate, self-repeating patterns known as fractal images."
Write code to encrypt and decrypt sensitive data.," ""Develop a secure encryption and decryption program in Java that utilizes industry-standard cryptographic algorithms,  ensuring the confidentiality and integrity of sensitive data.""","Enhance the prompt: Develop and implement a secure encryption and decryption mechanism for handling sensitive data, ensuring data confidentiality and integrity."
Create a web scraping tool to extract data from websites," ""Build a versatile web scraping application using Python and libraries such as BeautifulSoup and Selenium to extract structured data from various websites,  including handling dynamic content and pagination""",Enhance this prompt: Develop a robust web data extraction software capable of efficiently retrieving information from various websites.
Make a program that predicts stock market trends.," ""Develop a machine learning model using Python,  scikit-learn,  and historical stock market data to predict future trends and fluctuations,  evaluating different algorithms and performance metrics.""",Enhance the prompt: Develop a program capable of forecasting stock market patterns. This program should utilize historical data and market indicators to establish trends and make predictions. It should also allow users to input specific stocks or markets for analysis.
Write code to solve a complex mathematical optimization problem.," ""Implement an optimization solver in MATLAB that solves a complex mathematical problem involving linear programming,  constraints,  and objective functions, considering various optimization algorithms and sensitivity analysis.""",Tackle a sophisticated mathematical optimization challenge through coding.
How to start programming?,Create a plan for my programming education and suggest sources where I can read about this topic.,Initiate Your Coding Journey: Essential First Steps
Choose me the best programming language,Provide me with directions in programming and the most in-demand programming languages that correspond to each direction.,"Select the most suitable programming language for your needs by considering factors such as project requirements, your expertise, and the language's popularity, efficiency, and community support."
